Codigo_Accidente;Formulario;Longitud;Latitud;Direccion;Fecha_Acc;AA_Acc;MM_Acc;DD_Mes_Acc;Dia_Semana_Acc;Hora_Acc;Min_Acc;Localidad;Clase_Acc;Elemento_Choque;Tipo_Objeto_Fijo;Gravedad_Indicador_Tradicional;Gravedad_indicador_30d;Con_Bicicleta;Con_Carga;Con_Embriaguez;Con_Huecos;Con_Menores;Con_Moto;Con_Peaton;Con_Persona_Mayor;Con_Rutas;Con_Tpi;Con_Tpp;Con_Velocidad;Con_Sitp;Con_Troncal;Con_Alimentador;Con_Zonal;Con_Provisional;Con_Articulado;Con_Biarticulado;Con_Padron_Dual;
10591851;A001571139;-74,16212944;4,599679034;AV AVENIDA CIUDAD DE VILLAVICENCIO - CL 57 B S 02;26/05/2023;2023;Mayo;26;viernes;20;43;BOSA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10591854;A001571298;-74,15833572;4,570566571;KR 44 D - DG 69 K S 02;31/05/2023;2023;Mayo;31;miércoles;9;40;CIUDAD BOLIVAR;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;;;;;;;;;;;;;;
10592149;A001570489;-74,0790346;4,62390117;CL 26 - KR 25  02;08/06/2023;2023;Junio;8;jueves;20;0;TEUSAQUILLO;Volcamiento;;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10592358;A001572190;-74,07735414;4,590090626;CL 6 - KR 5  02;14/06/2023;2023;Junio;14;miércoles;6;41;CANDELARIA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;SI;;;;;SI;;;;;;;;;;;
10592361;A001570128;-74,02997238;4,763974255;CL 187 A - KR 8 C 02;14/06/2023;2023;Junio;14;miércoles;20;15;USAQUEN;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10592370;A001571474;-74,10176498;4,742816821;CL 139 - KR 110  02;13/06/2023;2023;Junio;13;martes;10;35;SUBA;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;;;;;;;;;;;;;;
10592372;A001571556;-74,08351926;4,546360703;KR 13 B E- CL 41 B S 02;14/06/2023;2023;Junio;14;miércoles;18;20;SAN CRISTOBAL;Atropello;;;Con Heridos;Con Heridos;;;;;SI;SI;SI;;;;;;;;;;;;;;
10592378;A001571285;-74,11376316;4,577103839;KR 15 - CL 32 BIS S 02;14/06/2023;2023;Junio;14;miércoles;5;48;RAFAEL URIBE URIBE;Choque;Objeto Fijo;Vehiculo estacionado;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10592379;A001571358;-74,16616314;4,609283824;CL 49 S- KR 77 V 02;13/06/2023;2023;Junio;13;martes;12;35;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;SI;;;SI;;;;;;;;;;
10592766;A001571754;-74,15353028;4,614360795;KR 74 - DG 40 C S 02;23/06/2023;2023;Junio;23;viernes;8;26;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10592767;A001572508;-74,13331179;4,615313903;KR 69 B - CL 24 S 02;23/06/2023;2023;Junio;23;viernes;21;40;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10592768;A001571462;-74,18577579;4,620799927;KR 86 A - CL 58 C 02;22/06/2023;2023;Junio;22;jueves;17;20;BOSA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;SI;;;;;;;;;;;;;;;
10592778;A001571759;-74,12668316;4,587672244;AK 33 - CL 41 A S 02;27/06/2023;2023;Junio;27;martes;8;44;RAFAEL URIBE URIBE;Atropello;;;Con Muertos;Con Muertos;;;;;;SI;SI;SI;;;;SI;;;;;;;;;
10592781;A001571853;-74,14250103;4,58022587;AV AVENIDA BOYACA - KR 33  02;23/06/2023;2023;Junio;23;viernes;20;50;TUNJUELITO;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;;;;;;;;;;;;;;
10593270;A001572855;-74,16723386;4,631048959;KR 86 - CL 42 S 02;05/07/2023;2023;Julio;5;miércoles;12;12;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;SI;;;;SI;;;;;;;;;;;;;;;
10593385;A001571689;-74,04901156;4,733767303;AU NORTE - CL 151  02;10/07/2023;2023;Julio;10;lunes;19;0;USAQUEN;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;;;;;;;;;;;;;;;;
10593386;A001573006;-74,17364901;4,645892336;KR 96 - CL 40 S 02;09/07/2023;2023;Julio;9;domingo;17;21;KENNEDY;Atropello;;;Con Heridos;Con Heridos;;;;;SI;SI;SI;;;;;;;;;;;;;;
10593398;A001572931;-74,09219889;4,754370874;CL 153 - KR 104  02;10/07/2023;2023;Julio;10;lunes;12;38;SUBA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;SI;;;;;;SI;;SI;;;SI;;;;;
10593417;A001573177;-74,17070543;4,628415792;CL 43 S- KR 86  02;11/07/2023;2023;Julio;11;martes;18;35;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;SI;;SI;;SI;;;;;;
10593421;A001573043;-74,08209487;4,577137254;KR 2 - CL 9 S 02;10/07/2023;2023;Julio;10;lunes;19;6;SAN CRISTOBAL;Choque;Objeto Fijo;Poste;Solo Daños;Solo Daños;;;;;;;;;;;;;;;;;;;;;
10593426;A001572382;-74,13013605;4,646080007;AV AVENIDA BOYACA - CL 12 B 02;04/07/2023;2023;Julio;4;martes;20;30;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10593428;A001571667;-74,14059299;4,611389702;KR 69 B - CL 37 E S 02;09/07/2023;2023;Julio;9;domingo;8;16;KENNEDY;Choque;Vehículo;;Solo Daños;Solo Daños;;;SI;;;;;;;;;;;;;;;;;;
10593430;A001572880;-74,10091632;4,650428071;CL 26 - KR 66 A 02;07/07/2023;2023;Julio;7;viernes;13;46;TEUSAQUILLO;Choque;Vehículo;;Solo Daños;Solo Daños;;;;;;SI;;;;;;;;;;;;;;;
10593520;A001571522;-74,05171899;4,663895289;CL 81 - KR 9  02;13/07/2023;2023;Julio;13;jueves;10;45;CHAPINERO;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;SI;;SI;;;;;;;;;;;
10593532;A001573255;-74,11789445;4,645171052;KR 68 D - CL 18 A 02;13/07/2023;2023;Julio;13;jueves;10;30;FONTIBON;Choque;Objeto Fijo;Poste;Solo Daños;Solo Daños;;SI;;;;;;;;;;;;;;;;;;;
10593534;A001572562;-74,12786315;4,629275694;AV AVENIDA DE LAS AMERICAS - CL 68 F 02;30/06/2023;2023;Junio;30;viernes;2;41;KENNEDY;Volcamiento;;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10593537;A001573151;-74,06353144;4,649421743;KR 13 - CL 63  02;14/07/2023;2023;Julio;14;viernes;22;12;CHAPINERO;Choque;Vehículo;;Solo Daños;Solo Daños;;;SI;;;;;;;;;;;;;;;;;;
10593542;A001572946;-74,12617482;4,525670443;AC 71 S- KR 4  02;13/07/2023;2023;Julio;13;jueves;16;55;CIUDAD BOLIVAR;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;SI;SI;;;;;;;;;;;;;;;
10593779;A001572898;-74,0389785;4,669878171;KR 3 - CL 91  02;18/07/2023;2023;Julio;18;martes;2;31;CHAPINERO;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;;;SI;;;;;;;;;;;;;
10593781;A001573456;-74,10590998;4,619804775;CL 6 - KR 43  02;19/07/2023;2023;Julio;19;miércoles;21;0;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10593788;A001573209;-74,17080253;4,628472761;AV AVENIDA CIUDAD DE CALI - AV AVENIDA CIUDAD DE VILLAVICENCIO  02;19/07/2023;2023;Julio;19;miércoles;1;0;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;;;;;;SI;;SI;;;SI;;;;;
10593810;A001573496;-74,09548219;4,748467068;KR 104 - CL 148  02;21/07/2023;2023;Julio;21;viernes;22;55;SUBA;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;;;;;;;;;;;;;;
10594168;A001573737;-74,10086163;4,670705667;CL 63 - KR 70  02;29/07/2023;2023;Julio;29;sábado;23;10;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;SI;;;;;;;;;;;;;;;
10594036;A001573490;-74,06812338;4,673123555;KR 30 - CL 80  02;27/07/2023;2023;Julio;27;jueves;10;57;BARRIOS UNIDOS;Choque;Vehículo;;Solo Daños;Solo Daños;;;;;;;;;;;SI;;SI;;;SI;;;;;
10594037;A001573703;-74,10227195;4,728827853;CL 128 - KR 104 C 02;24/07/2023;2023;Julio;24;lunes;18;31;SUBA;Choque;Objeto Fijo;Poste;Solo Daños;Solo Daños;;SI;;;;;;;;;;;;;;;;;;;
10594039;A001573052;-74,16178612;4,595240893;CL 57 R S- KR 70 C 02;27/07/2023;2023;Julio;27;jueves;7;10;BOSA;Volcamiento;;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10594041;A001573752;-74,07870302;4,650863822;KR 30 - CL 61  02;28/07/2023;2023;Julio;28;viernes;16;48;TEUSAQUILLO;Choque;Vehículo;;Con Muertos;Con Muertos;;;;;;SI;;;;;SI;;SI;SI;;;;;SI;;
10594175;A001573836;-74,10247637;4,693315101;CL 72 - KR 80 C 02;30/07/2023;2023;Julio;30;domingo;14;30;ENGATIVA;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;;;;;;;;;;;;;;
10591007;A001570215;-74,13642851;4,585123968;CL 51 S- KR 34  02;10/05/2023;2023;Mayo;10;miércoles;21;20;TUNJUELITO;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;;;SI;;;SI;;SI;;;SI;;;;;
10591010;A001570521;-74,06081704;4,619399017;AK 1 - CL 35  02;09/05/2023;2023;Mayo;9;martes;23;45;SANTA FE;Choque;;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10591012;A001569898;-74,17458003;4,63907079;KR 91 - CL 42 F S 02;09/05/2023;2023;Mayo;9;martes;20;21;KENNEDY;Choque;Vehículo;;Solo Daños;Solo Daños;;;;;;SI;;;;SI;;;;;;;;;;;
10591022;A001570549;-74,07920627;4,684126741;CL 80 - KR 68  02;10/05/2023;2023;Mayo;10;miércoles;13;45;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10591026;A001569880;-74,10547314;4,650958937;KR 68 - CL 24 C 02;11/05/2023;2023;Mayo;11;jueves;6;46;TEUSAQUILLO;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;;;SI;;;;;;;;;;;;;
10591067;A001570428;-74,13659721;4,552681322;AV AVENIDA BOYACA - KR 16 F 02;12/05/2023;2023;Mayo;12;viernes;5;37;CIUDAD BOLIVAR;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;SI;;;;;;;;;;;;;
10591073;A001570681;-74,10864404;4,714798826;KR 101 - CL 83  02;12/05/2023;2023;Mayo;12;viernes;22;21;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;;;;;;;;;;;;;;;;
10591075;A001570290;-74,12634556;4,696282405;CL 63 - KR 105  02;12/05/2023;2023;Mayo;12;viernes;19;42;ENGATIVA;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;;;;;;;;;;;;;;
10591088;A001570625;-74,16274635;4,619062156;CL 79 - KR 42 C 02;14/05/2023;2023;Mayo;14;domingo;21;3;KENNEDY;Choque;Vehículo;;Solo Daños;Solo Daños;;;;;;SI;;;;;;;;;;;;;;;
10591091;A001569571;-74,09127371;4,611569813;KR 28 - CL 12 A 02;13/05/2023;2023;Mayo;13;sábado;10;40;LOS MARTIRES;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;SI;;;;;;;;;;;;;
10591092;A001570323;-74,08816753;4,553125308;CL 36 L S- KR 8 E 02;14/05/2023;2023;Mayo;14;domingo;6;50;SAN CRISTOBAL;Volcamiento;;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10591093;A001570459;-74,12151778;4,625790682;KR 66 - CL 4 D 02;13/05/2023;2023;Mayo;13;sábado;15;28;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10591097;A001570731;-74,0357869;4,697822676;CL 19 - KR 10  02;13/03/2023;2023;Marzo;13;lunes;18;0;USAQUEN;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10586845;A001520133;-74,0410438;4,727998749;KR 115 - DG 146  02;28/01/2023;2023;Enero;28;sábado;23;30;SUBA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;SI;;;;;;SI;;SI;;;SI;;;;;
10586846;A001566652;-74,06996874;4,650581991;CL 63 - KR 20  02;29/01/2023;2023;Enero;29;domingo;21;35;BARRIOS UNIDOS;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10586918;A001519861;-74,16248349;4,574130978;KR 48 B - CL 72 A S 02;30/01/2023;2023;Enero;30;lunes;13;46;CIUDAD BOLIVAR;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;SI;;;;;;;;;;;;;
10586943;A001566754;-74,09713415;4,712451929;KR 90 - CL 90  02;01/02/2023;2023;Febrero;1;miércoles;22;30;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10586951;A001520155;-74,0828386;4,711400565;CL 127 A - KR 81  02;31/01/2023;2023;Enero;31;martes;7;20;SUBA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;SI;;;;;;;;;;;;;;;
10586987;A001520126;-74,10499814;4,620232174;KR 43 - CL 10  02;31/01/2023;2023;Enero;31;martes;11;0;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10587197;A001516822;-74,16318581;4,589032587;CL 63 S- KR 70 G 02;06/02/2023;2023;Febrero;6;lunes;10;33;CIUDAD BOLIVAR;Caida de ocupante;;;Con Heridos;Con Heridos;;;;;;;;;;;SI;;SI;;;SI;;;;;
10587244;A001566734;-74,13262095;4,724653911;CL 78 B - KR 120 A 02;06/02/2023;2023;Febrero;6;lunes;16;30;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;SI;;;;;;;;;;;;;;;;
10587260;A001566827;-74,17340813;4,587458525;CL 62 I - KR 74 B 02;07/02/2023;2023;Febrero;7;martes;12;12;CIUDAD BOLIVAR;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;SI;SI;;;;SI;;;;;;;;;;;
10587262;A001567045;-74,11660904;4,515162258;CL 74 C S- KR 14 S 02;08/02/2023;2023;Febrero;8;miércoles;5;30;USME;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10587263;A001566821;-74,16180416;4,579240997;TV 60 - CL 69 A S 02;07/02/2023;2023;Febrero;7;martes;15;0;CIUDAD BOLIVAR;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;;;;;;;;;;;;;;;;
10587264;A001566809;-74,12669809;4,566848513;CL 51 S- AV AVENIDA CARACAS  02;08/02/2023;2023;Febrero;8;miércoles;8;31;RAFAEL URIBE URIBE;Choque;Vehículo;;Con Muertos;Con Heridos;SI;SI;;;;;;;;;;;;;;;;;;;
10587270;A001566748;-74,12977958;4,5937796;CL 45 A S- KR 50 A 02;08/02/2023;2023;Febrero;8;miércoles;18;49;ANTONIO NARIÑO;Caida de ocupante;;;Con Heridos;Con Heridos;;;;;;;;SI;;;SI;;SI;SI;;;;;SI;;
10587272;A001566856;-74,12090091;4,616810381;CL 2 A - KR 54  02;08/02/2023;2023;Febrero;8;miércoles;9;3;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;SI;SI;;SI;;;;;;;;;;;;;
10587279;A001566967;-74,11790444;4,49569153;CL 103 S- KR 11  02;10/02/2023;2023;Febrero;10;viernes;2;9;USME;Choque;Objeto Fijo;Otro;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10587284;A001566716;-74,05730475;4,732584531;KR 54 C - CL 149  02;08/02/2023;2023;Febrero;8;miércoles;2;53;SUBA;Choque;Objeto Fijo;Poste;Solo Daños;Solo Daños;;;;;;;;;;;;SI;;;;;;;;;
10587293;A001519243;-74,11949305;4,601251092;AV AVENIDA PRIMERO DE MAYO - CL 40 A 02;08/02/2023;2023;Febrero;8;miércoles;17;40;PUENTE ARANDA;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;SI;;;;;;;;;;;;;
10587321;A001566810;-74,13744552;4,63513451;KR 72 - CL 7 C 02;09/02/2023;2023;Febrero;9;jueves;6;0;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;SI;;;;;;SI;;;;;;;;;;
10587324;A001566884;-74,11470798;4,684222978;CL 63 - KR 86  02;08/02/2023;2023;Febrero;8;miércoles;9;0;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;;SI;;;;SI;;;;;;;;;;;;;;;
10587344;A001566733;-74,11335127;4,693296416;KR 91 - CL 68  02;09/02/2023;2023;Febrero;9;jueves;7;10;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10587484;A001567072;-74,10692081;4,598560998;KR 30 - CL 8 S 02;13/02/2023;2023;Febrero;13;lunes;0;24;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10587765;A001567503;-74,09187702;4,71034549;CL 78 B - KR 116  02;17/02/2023;2023;Febrero;17;viernes;15;16;ENGATIVA;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;SI;;;;;;;;;;;;;
10587973;A001567757;-74,09697326;4,615402903;KR 34 - CL 12  02;24/02/2023;2023;Febrero;24;viernes;11;50;PUENTE ARANDA;Choque;Vehículo;;Solo Daños;Solo Daños;;SI;;;;;;;;;;;;;;;;;;;
10588009;A001567587;-74,05240089;4,713528162;KR 45 - CL 128 B 02;24/02/2023;2023;Febrero;24;viernes;20;40;USAQUEN;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;;;;;;;;;;;;;;;;
10588010;A001567589;-74,14023479;4,671124875;KR 96 G - CL 19 A 02;23/02/2023;2023;Febrero;23;jueves;15;38;FONTIBON;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;;;;;;;;;;;;;;
10588024;A001566964;-74,17556717;4,591886053;CL 60 A S- KR 75 A 02;23/02/2023;2023;Febrero;23;jueves;13;52;CIUDAD BOLIVAR;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10588026;A001519233;-74,09439387;4,575914314;KR 10 - CL 21 S 02;23/02/2023;2023;Febrero;23;jueves;23;30;SAN CRISTOBAL;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;;;;;;;;;;;;;;
10588066;A001567797;-74,0797827;4,684538907;CL 80 - KR 68 B 02;25/02/2023;2023;Febrero;25;sábado;14;0;ENGATIVA;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;;;;;;;;;;;;;;
10588262;A001566971;-74,15028327;4,622702821;KR 78 B - CL 36 S 02;01/03/2023;2023;Marzo;1;miércoles;21;50;KENNEDY;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;SI;;;;;;;;;;;;;
10597039;A001574372;-74,12345199;4,603913957;AV AVENIDA PRIMERO DE MAYO - KR 51 A 02;08/10/2023;2023;Octubre;8;domingo;1;44;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;;;;;;;;;;;;;;;;
10597048;A001574991;-74,12158147;4,692815265;CL 63 - KR 97  02;11/10/2023;2023;Octubre;11;miércoles;8;30;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;;;SI;;;;;;;;;;;;;
10597089;A001574427;-74,14421765;4,635145735;CL 7 A - TV 78 C 02;12/10/2023;2023;Octubre;12;jueves;6;15;KENNEDY;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;;;;;;;;;;;;;;
10597098;A001614109;-74,0880431;4,648512494;CL 53 - KR 53  02;11/10/2023;2023;Octubre;11;miércoles;17;20;TEUSAQUILLO;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;SI;;;;;;;;;;;;;
10597100;A001613845;-74,08439695;4,607580877;CL 13 - KR 19  02;11/10/2023;2023;Octubre;11;miércoles;16;37;LOS MARTIRES;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10597101;A001613857;-74,15230719;4,617109163;TV 73 D - CL 40 S 02;13/10/2023;2023;Octubre;13;viernes;0;30;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10597102;A001574964;-74,12041748;4,532718686;KR 14 - CL 65 C S 02;12/10/2023;2023;Octubre;12;jueves;6;30;USME;Caida de ocupante;;;Con Heridos;Con Heridos;;;;;;;;;;;SI;;SI;SI;;;;SI;;;
10597105;A001576382;-74,1825491;4,618789459;KR 84 A - DG 56 S 02;09/10/2023;2023;Octubre;9;lunes;21;6;BOSA;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;;;;;;;;;;;;;;
10597110;A001574959;-74,10280971;4,67628338;AV AVENIDA BOYACA - CL 64  02;12/10/2023;2023;Octubre;12;jueves;8;50;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;SI;;SI;;;SI;;;;;
10597111;A001574965;-74,15305287;4,58116193;KR 51 - CL 58 D S 02;12/10/2023;2023;Octubre;12;jueves;9;0;CIUDAD BOLIVAR;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10597151;A001613943;-74,06841124;4,586891632;DG 4 A - KR 7  02;13/10/2023;2023;Octubre;13;viernes;20;20;SANTA FE;Atropello;;;Con Heridos;Con Heridos;;;;;SI;SI;SI;;;;;;;;;;;;;;
10597213;A001576578;-74,06054969;4,652171452;KR 10 - CL 67  02;13/10/2023;2023;Octubre;13;viernes;21;56;CHAPINERO;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10597204;A001575954;-74,16365953;4,642346802;CL 26 S- KR 89  02;14/10/2023;2023;Octubre;14;sábado;4;11;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;SI;;;;;;SI;;;;;;;;;;;;;
10597206;A001613933;-74,12935003;4,629257582;AV AVENIDA DE LAS AMERICAS - KR 69 C 02;13/10/2023;2023;Octubre;13;viernes;20;50;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10597215;A001574669;-74,18861313;4,617739516;AV AVENIDA CIUDAD DE CALI - CL 62 S 02;16/10/2023;2023;Octubre;16;lunes;18;0;BOSA;Atropello;;;Con Heridos;Con Heridos;;;;;SI;;SI;;;;SI;;;;;;;;;;
10598210;A001604833;-74,05989436;4,64118233;KR 3 A - CL 56  02;11/11/2023;2023;Noviembre;11;sábado;15;3;CHAPINERO;Choque;Objeto Fijo;Poste;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10598211;A001604675;-74,04578594;4,690526474;KR 15 - CL 106  02;11/11/2023;2023;Noviembre;11;sábado;0;48;USAQUEN;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;SI;;;;;;;;;;;;;;;
10598216;A001574885;-74,10846648;4,690988942;AV AVENIDA CIUDAD DE CALI - CL 68 A 02;08/11/2023;2023;Noviembre;8;miércoles;8;15;ENGATIVA;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;SI;;;;;;;;;;;;;
10598220;A001604836;-74,07583741;4,651710155;CL 63 - KR 28  02;11/11/2023;2023;Noviembre;11;sábado;11;12;BARRIOS UNIDOS;Volcamiento;;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10598224;A001604765;-74,12218864;4,713332589;KR 110 - CL 75 F 02;13/11/2023;2023;Noviembre;13;lunes;20;45;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;;;;;SI;;;;;;;;;;;
10598258;A001604578;-74,09042326;4,593315908;KR 18 - CL 1 D 02;09/11/2023;2023;Noviembre;9;jueves;15;0;LOS MARTIRES;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10598265;A001604515;-74,10898356;4,589243715;AV AVENIDA PRIMERO DE MAYO - KR 27  02;10/11/2023;2023;Noviembre;10;viernes;6;31;ANTONIO NARIÑO;Atropello;;;Con Muertos;Con Muertos;;;;;;SI;SI;;;;;;;;;;;;;;
10598269;A001574324;-74,08466724;4,62788999;KR 32 A - CL 25 B 02;11/11/2023;2023;Noviembre;11;sábado;19;45;TEUSAQUILLO;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;;;;;;;;;;;;;;
10598280;A001604888;-74,05633691;4,693928902;AU NORTE - CL 106  02;12/11/2023;2023;Noviembre;12;domingo;16;33;USAQUEN;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;SI;;;;;SI;;;;;;;;;;;
10598281;A001613627;-74,15480112;4,548112672;CL 70 D S- KR 20  02;04/11/2023;2023;Noviembre;4;sábado;13;30;CIUDAD BOLIVAR;Choque;Vehículo;;Solo Daños;Solo Daños;;;;;;SI;;;;SI;;;;;;;;;;;
10598340;A001604930;-74,1113784;4,635168104;CL 17 - KR 62  02;14/11/2023;2023;Noviembre;14;martes;5;55;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10598819;A001605448;-74,07197771;4,711206244;KR 60 - CL 127  02;27/11/2023;2023;Noviembre;27;lunes;19;45;SUBA;Otro;;;Con Heridos;Con Heridos;;;;;;;;;;;SI;;SI;SI;;;;;SI;;
10598822;A001605342;-74,11317733;4,672194428;DG 47 - KR 75  02;27/11/2023;2023;Noviembre;27;lunes;5;45;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10597286;A001613834;-74,09711332;4,713773498;KR 91 - CL 90 B 02;16/10/2023;2023;Octubre;16;lunes;10;30;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;SI;;;;;;;;;;;;;;;
10597289;A001613903;-74,13745847;4,632212232;AV AVENIDA BOYACA - CL 6 D 02;14/10/2023;2023;Octubre;14;sábado;9;52;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10597291;A001574721;-74,10323416;4,576340539;CL 27 S- KR 12 F 02;17/10/2023;2023;Octubre;17;martes;11;40;RAFAEL URIBE URIBE;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;SI;;;;;;;;;;;;;
10597294;A001576548;-74,11871554;4,657884482;AV AVENIDA BOYACA - CL 22 D 02;18/10/2023;2023;Octubre;18;miércoles;8;10;FONTIBON;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
